Arsenal,www.arsenal.com,Emirates Stadium
Aston Villa,www.avfc.co.uk,Villa Park
Brentford,www.brentfordfc.com,Brentford Community Stadium
Brighton and Hove Albion,www.brightonandhovealbion.com,Amex Stadium
Burnley,www.burnleyfootballclub.com,Turf Moor
Chelsea,www.chelseafc.com,Stamford Bridge
Crystal Palace,www.cpfc.co.uk,Selhurst Park
Everton,www.evertonfc.com,Goodison Park
Leeds United,www.leedsunited.com/,Elland Road
Leicester City,www.lcfc.com,King Power Stadium
Liverpool,www.liverpoolfc.com,Anfield
Manchester City,www.mancity.com,Etihad Stadium
Manchester United,www.manutd.com,Old Trafford
Newcastle United,www.nufc.co.uk,St. James' Park
Norwich City,www.canaries.co.uk,Carrow Road
Southampton,www.southamptonfc.com,St. Mary's Stadium
Tottenham Hotspur,www.tottenhamhotspur.com,Tottenham Hotspur Stadium
Watford,www.watfordfc.com,Vicarage Road
West Ham United,www.whufc.com,London Stadium
Wolverhampton Wanderers,https://www.wolves.co.uk,Molineux Stadium
