66685,2021/22,Mon 2 May 2022,3-0,Old Trafford
66683,2021/22,Sun 1 May 2022,1-0,Goodison Park
66688,2021/22,Sun 1 May 2022,03-Jan,Tottenham Hotspur Stadium
66690,2021/22,Sun 1 May 2022,01-Feb,London Stadium
66686,2021/22,Sat 30 Apr 2022,0-1,St. James' Park
66682,2021/22,Sat 30 Apr 2022,2-0,Villa Park
66687,2021/22,Sat 30 Apr 2022,01-Feb,St. Mary's Stadium
66689,2021/22,Sat 30 Apr 2022,01-Feb,Vicarage Road
66691,2021/22,Sat 30 Apr 2022,0-3,Molineux Stadium
66684,2021/22,Sat 30 Apr 2022,0-4,Elland Road
66705,2021/22,Thu 28 Apr 2022,01-Jan,Old Trafford
66677,2021/22,Mon 25 Apr 2022,0-0,Selhurst Park
66674,2021/22,Sun 24 Apr 2022,02-Feb,Amex Stadium
66675,2021/22,Sun 24 Apr 2022,1-0,Turf Moor
66676,2021/22,Sun 24 Apr 2022,1-0,Stamford Bridge
66679,2021/22,Sun 24 Apr 2022,2-0,Anfield
66672,2021/22,Sat 23 Apr 2022,03-Jan,Emirates Stadium
66678,2021/22,Sat 23 Apr 2022,0-0,King Power Stadium
66680,2021/22,Sat 23 Apr 2022,05-Jan,Etihad Stadium
66681,2021/22,Sat 23 Apr 2022,0-3,Carrow Road
66673,2021/22,Sat 23 Apr 2022,0-0,Brentford Community Stadium
66633,2021/22,Thu 21 Apr 2022,2-0,Turf Moor
66584,2021/22,Wed 20 Apr 2022,02-Apr,Stamford Bridge
66513,2021/22,Wed 20 Apr 2022,01-Jan,Goodison Park
66637,2021/22,Wed 20 Apr 2022,1-0,St. James' Park
66636,2021/22,Wed 20 Apr 2022,3-0,Etihad Stadium
66635,2021/22,Tue 19 Apr 2022,4-0,Anfield
66666,2021/22,Sun 17 Apr 2022,02-Jan,St. James' Park
66670,2021/22,Sun 17 Apr 2022,01-Jan,London Stadium
66668,2021/22,Sat 16 Apr 2022,0-1,Tottenham Hotspur Stadium
66665,2021/22,Sat 16 Apr 2022,03-Feb,Old Trafford
66667,2021/22,Sat 16 Apr 2022,1-0,St. Mary's Stadium
66669,2021/22,Sat 16 Apr 2022,01-Feb,Vicarage Road
66654,2021/22,Sun 10 Apr 2022,2-0,Brentford Community Stadium
66656,2021/22,Sun 10 Apr 2022,02-Jan,King Power Stadium
66659,2021/22,Sun 10 Apr 2022,2-0,Carrow Road
66657,2021/22,Sun 10 Apr 2022,02-Feb,Etihad Stadium
66652,2021/22,Sat 9 Apr 2022,01-Feb,Emirates Stadium
66660,2021/22,Sat 9 Apr 2022,0-6,St. Mary's Stadium
66653,2021/22,Sat 9 Apr 2022,0-4,Villa Park
66655,2021/22,Sat 9 Apr 2022,1-0,Goodison Park
66661,2021/22,Sat 9 Apr 2022,0-3,Vicarage Road
66658,2021/22,Fri 8 Apr 2022,1-0,St. James' Park
66524,2021/22,Wed 6 Apr 2022,03-Feb,Turf Moor
66645,2021/22,Mon 4 Apr 2022,3-0,Selhurst Park
66650,2021/22,Sun 3 Apr 2022,02-Jan,London Stadium
66649,2021/22,Sun 3 Apr 2022,05-Jan,Tottenham Hotspur Stadium
66647,2021/22,Sat 2 Apr 2022,2-0,Anfield
66642,2021/22,Sat 2 Apr 2022,0-0,Amex Stadium
66643,2021/22,Sat 2 Apr 2022,0-2,Turf Moor
66644,2021/22,Sat 2 Apr 2022,01-Apr,Stamford Bridge
66646,2021/22,Sat 2 Apr 2022,01-Jan,Elland Road
66651,2021/22,Sat 2 Apr 2022,02-Jan,Molineux Stadium
66648,2021/22,Sat 2 Apr 2022,01-Jan,Old Trafford
66634,2021/22,Sun 20 Mar 2022,02-Jan,King Power Stadium
66639,2021/22,Sun 20 Mar 2022,03-Jan,Tottenham Hotspur Stadium
66632,2021/22,Sat 19 Mar 2022,0-1,Villa Park
66641,2021/22,Fri 18 Mar 2022,02-Mar,Molineux Stadium
66536,2021/22,Thu 17 Mar 2022,1-0,Goodison Park
66494,2021/22,Wed 16 Mar 2022,0-2,Amex Stadium
66602,2021/22,Wed 16 Mar 2022,0-2,Emirates Stadium
66626,2021/22,Mon 14 Mar 2022,0-0,Selhurst Park
66625,2021/22,Sun 13 Mar 2022,1-0,Stamford Bridge
66627,2021/22,Sun 13 Mar 2022,0-1,Goodison Park
66628,2021/22,Sun 13 Mar 2022,02-Jan,Elland Road
66630,2021/22,Sun 13 Mar 2022,01-Feb,St. Mary's Stadium
66631,2021/22,Sun 13 Mar 2022,02-Jan,London Stadium
66622,2021/22,Sun 13 Mar 2022,2-0,Emirates Stadium
66624,2021/22,Sat 12 Mar 2022,0-2,Amex Stadium
66623,2021/22,Sat 12 Mar 2022,2-0,Brentford Community Stadium
66629,2021/22,Sat 12 Mar 2022,03-Feb,Old Trafford
66638,2021/22,Thu 10 Mar 2022,01-Mar,Carrow Road
66550,2021/22,Thu 10 Mar 2022,01-Feb,St. Mary's Stadium
66531,2021/22,Thu 10 Mar 2022,4-0,Molineux Stadium
66537,2021/22,Thu 10 Mar 2022,0-3,Elland Road
66619,2021/22,Mon 7 Mar 2022,5-0,Tottenham Hotspur Stadium
66620,2021/22,Sun 6 Mar 2022,02-Mar,Vicarage Road
66616,2021/22,Sun 6 Mar 2022,04-Jan,Etihad Stadium
66612,2021/22,Sat 5 Mar 2022,4-0,Villa Park
66615,2021/22,Sat 5 Mar 2022,1-0,Anfield
66614,2021/22,Sat 5 Mar 2022,1-0,King Power Stadium
66613,2021/22,Sat 5 Mar 2022,0-4,Turf Moor
66617,2021/22,Sat 5 Mar 2022,02-Jan,St. James' Park
66618,2021/22,Sat 5 Mar 2022,01-Mar,Carrow Road
66621,2021/22,Sat 5 Mar 2022,0-2,Molineux Stadium
