Aaron Ramsey,England,Aston Villa U21,2021/2022,Midfielder
Max Aarons,England,Norwich City,2021/2022,Defender
Max Aarons,England,Norwich City,2019/2020,Defender
Abdul Rahman Baba,Ghana,Chelsea,2021/2022,Defender
Abdul Rahman Baba,Ghana,Chelsea,2019/2020,Defender
Tammy Abraham,England,Chelsea,2021/2022,Forward
Tammy Abraham,England,Chelsea,2020/2021,Forward
Tammy Abraham,England,Chelsea,2019/2020,Forward
Tammy Abraham,England,Chelsea,2018/2019,Forward
Adam Armstrong,England,Southampton,2021/2022,Forward
Che Adams,Scotland,Southampton,2021/2022,Forward
Che Adams,Scotland,Southampton,2020/2021,Forward
Che Adams,Scotland,Southampton,2019/2020,Forward
Omotayo Adaramola,Ireland,Crystal Palace U21,2021/2022,Defender
Adrin,Spain,Liverpool,2021/2022,Goalkeeper
Adrin,Spain,Liverpool,2020/2021,Goalkeeper
Adrin,Spain,West Ham United,2019/2020,Goalkeeper
Adrin,Spain,West Ham United,2018/2019,Goalkeeper
Sergio Agero,Argentina,Manchester City,2021/2022,Forward
Sergio Agero,Argentina,Manchester City,2020/2021,Forward
Sergio Agero,Argentina,Manchester City,2019/2020,Forward
Sergio Agero,Argentina,Manchester City,2018/2019,Forward
Derek Agyakwa,Netherlands,Watford,2021/2022,Defender
Ahmed El Mohamady,Egypt,Aston Villa,2021/2022,Defender
Ahmed El Mohamady,Egypt,Aston Villa,2020/2021,Defender
Ahmed El Mohamady,Egypt,Aston Villa,2019/2020,Defender
Rayan At-Nouri,France,Wolverhampton Wanderers  (Loan) ,2021/2022,Defender
Rayan At-Nouri,France,Wolverhampton Wanderers  (Loan) ,2020/2021,Defender
Kristoffer Ajer,Norway,Brentford,2021/2022,Defender
Nathan Ak,Netherlands,Manchester City,2021/2022,Defender
Nathan Ak,Netherlands,Manchester City,2020/2021,Defender
Nathan Ak,Netherlands,AFC Bournemouth,2019/2020,Defender
Nathan Ak,Netherlands,AFC Bournemouth,2018/2019,Defender
Marc Albrighton,England,Leicester City,2021/2022,Midfielder
Marc Albrighton,England,Leicester City,2020/2021,Midfielder
Marc Albrighton,England,Leicester City,2019/2020,Midfielder
Marc Albrighton,England,Leicester City,2018/2019,Midfielder
Toby Alderweireld,Belgium,Tottenham Hotspur,2021/2022,Defender
Toby Alderweireld,Belgium,Tottenham Hotspur,2020/2021,Defender
Toby Alderweireld,Belgium,Tottenham Hotspur,2019/2020,Defender
Toby Alderweireld,Belgium,Tottenham Hotspur,2018/2019,Defender
Ryan Alebiosu,England,Arsenal,2021/2022,Defender
Ajibola Alese,England,West Ham United,2021/2022,Defender
Ajibola Alese,England,West Ham United U21,2020/2021,Defender
Alex Telles,Brazil,Manchester United,2021/2022,Defender
Alex Telles,Brazil,Manchester United,2020/2021,Defender
Trent Alexander-Arnold,England,Liverpool,2021/2022,Defender
Trent Alexander-Arnold,England,Liverpool,2020/2021,Defender
Trent Alexander-Arnold,England,Liverpool,2019/2020,Defender
Trent Alexander-Arnold,England,Liverpool,2018/2019,Defender
Ezgjan Alioski,North Macedonia,Leeds United,2021/2022,Midfielder
Ezgjan Alioski,North Macedonia,Leeds United,2020/2021,Midfielder
Alisson,Brazil,Liverpool,2021/2022,Goalkeeper
Alisson,Brazil,Liverpool,2020/2021,Goalkeeper
Alisson,Brazil,Liverpool,2019/2020,Goalkeeper
Alisson,Brazil,Liverpool,2018/2019,Goalkeeper
Allan,Brazil,Everton,2021/2022,Midfielder
Allan,Brazil,Everton,2020/2021,Midfielder
Dele Alli,England,Tottenham Hotspur,2021/2022,Midfielder
Dele Alli,England,Tottenham Hotspur,2020/2021,Midfielder
Dele Alli,England,Tottenham Hotspur,2019/2020,Midfielder
Dele Alli,England,Tottenham Hotspur,2018/2019,Midfielder
Miguel Almirn,Paraguay,Newcastle United,2021/2022,Midfielder
Miguel Almirn,Paraguay,Newcastle United,2020/2021,Midfielder
Miguel Almirn,Paraguay,Newcastle United,2019/2020,Midfielder
Miguel Almirn,Paraguay,Newcastle United,2018/2019,Midfielder
Marcos Alonso,Spain,Chelsea,2021/2022,Defender
Marcos Alonso,Spain,Chelsea,2020/2021,Defender
Marcos Alonso,Spain,Chelsea,2019/2020,Defender
Marcos Alonso,Spain,Chelsea,2018/2019,Defender
Jaime Alvarado,Colombia,Watford,2021/2022,Midfielder
Julin lvarez,Argentina,Manchester City,2021/2022,Forward
Will Alves,England,Leicester City,2021/2022,Forward
Steven Alzate,Colombia,Brighton and Hove Albion,2021/2022,Forward
Steven Alzate,Colombia,Brighton and Hove Albion,2020/2021,Forward
Steven Alzate,Colombia,Leyton Orient,2019/2020,Forward
Daniel Amartey,Ghana,Leicester City,2021/2022,Defender
Daniel Amartey,Ghana,Leicester City,2020/2021,Defender
Daniel Amartey,Ghana,Leicester City,2019/2020,Defender
Daniel Amartey,Ghana,Leicester City,2018/2019,Defender
Ethan Ampadu,Wales,Chelsea,2021/2022,Defender
Ethan Ampadu,Wales,Chelsea,2020/2021,Defender
Ethan Ampadu,Wales,Chelsea,2019/2020,Defender
Ethan Ampadu,Wales,Chelsea,2018/2019,Defender
Joachim Andersen,Denmark,Crystal Palace,2021/2022,Defender
Joachim Andersen,Denmark,Fulham  (Loan) ,2020/2021,Defender
Joseph Anderson,England,Everton,2021/2022,Defender
Florin Andone,Romania,Brighton and Hove Albion,2021/2022,Forward
Florin Andone,Romania,Brighton and Hove Albion,2020/2021,Forward
Florin Andone,Romania,Brighton and Hove Albion,2019/2020,Forward
