Aaron Ramsey,England,Midfielder,,21/01/2003
Max Aarons,England,Defender,178cm,04/01/2000(22)
Abdul Rahman Baba,Ghana,Defender,180cm,02/07/1994
Tammy Abraham,England,Forward,190cm,02/10/1997
Adam Armstrong,England,Forward,172cm,10/02/1997(25)
Che Adams,Scotland,Forward,175cm,13/07/1996(25)
Omotayo Adaramola,Ireland,Defender,,13/11/2003(18)
Adrin,Spain,Goalkeeper,190cm,03/01/1987(35)
Sergio Agero,Argentina,Forward,173cm,02/06/1988
Derek Agyakwa,Netherlands,Defender,,19/12/2001(20)
Ahmed El Mohamady,Egypt,Defender,183cm,09/09/1987
Rayan At-Nouri,France,Defender,179cm,06/06/2001(20)
Kristoffer Ajer,Norway,Defender,196cm,17/04/1998(23)
Nathan Ak,Netherlands,Defender,180cm,18/02/1995(27)
Marc Albrighton,England,Midfielder,175cm,18/11/1989(32)
Toby Alderweireld,Belgium,Defender,186cm,02/03/1989
Ryan Alebiosu,England,Defender,,17/12/2001
Ajibola Alese,England,Defender,,17/01/2001(21)
Alex Telles,Brazil,Defender,181cm,15/12/1992(29)
Trent Alexander-Arnold,England,Defender,175cm,07/10/1998(23)
Ezgjan Alioski,North Macedonia,Midfielder,173cm,12/02/1992
Alisson,Brazil,Goalkeeper,191cm,02/10/1992(29)
Allan,Brazil,Midfielder,173cm,08/01/1991(31)
Dele Alli,England,Midfielder,188cm,11/04/1996(26)
Miguel Almirn,Paraguay,Midfielder,174cm,10/02/1994(28)
Marcos Alonso,Spain,Defender,188cm,28/12/1990(31)
Jaime Alvarado,Colombia,Midfielder,179cm,26/07/1999
Julin lvarez,Argentina,Forward,173cm,31/01/2000
Will Alves,England,Forward,,04/02/2005(17)
Steven Alzate,Colombia,Forward,180cm,08/09/1998(23)
Daniel Amartey,Ghana,Defender,186cm,21/12/1994(27)
Ethan Ampadu,Wales,Defender,183cm,14/09/2000
Joachim Andersen,Denmark,Defender,192cm,31/05/1996(25)
Joseph Anderson,England,Defender,,06/02/2001
Florin Andone,Romania,Forward,180cm,11/04/1993
Andr Gomes,Portugal,Midfielder,188cm,30/07/1993(28)
Andreas Pereira,Brazil,Midfielder,175cm,01/01/1996
Vincent Angelini,Scotland,Goalkeeper,186cm,12/09/2003(18)
Angelio,Spain,Defender,175cm,04/01/1997
Faustino Anjorin,England,Midfielder,185cm,23/11/2001
Michail Antonio,Jamaica,Forward,180cm,28/03/1990(32)
Keenan Appiah-Forson,England,Midfielder,,16/10/2001(20)
Billy Arce,Ecuador,Midfielder,178cm,12/07/1998
Cameron Archer,England,Forward,,09/12/2001
Alphonse Areola,France,Goalkeeper,195cm,27/02/1993(29)
Kepa Arrizabalaga,Spain,Goalkeeper,189cm,03/10/1994(27)
Harrison Ashby,Scotland,Defender,,14/11/2001(20)
Yaser Asprilla,Colombia,Midfielder,185cm,19/11/2003
Ryan Astley,Wales,Defender,,04/10/2001(20)
